"Creation Date","Status","Completion Date","Service Request Number","Type of Service Request","Street Address","ZIP Code","X Coordinate","Y Coordinate","Ward","Police District","Community Area","Latitude","Longitude","Location"
"12/31/2017","Open - Dup",,"17-08698026","Alley Light Out","5747 S ROCKWELL ST","60629","1160020.84743174","1866458.5697658","16","8","63","41.78926767221","-87.68879553844","(41.789267672212, -87.688795538442)"
"12/31/2017","Completed - Dup","12/31/2017","17-08699804","Alley Light Out","3749 W 82ND PL","60652","1152829.5635003","1849615.96437246","18","8","70","41.74319377504","-87.71560741648","(41.743193775041, -87.715607416485)"
"12/31/2017","Completed - Dup","12/31/2017","17-08703966","Alley Light Out","6349 S SACRAMENTO AVE","60629","1157474.46818764","1862385.21941942","17","8","66","41.77814182123","-87.6982426694","(41.778141821232, -87.698242669405)"
"12/31/2017","Completed - Dup","01/03/2018","17-08704039","Alley Light Out","12634 S MANISTEE AVE","60633","1196742.33002038","1821704.57998516","10","4","55","41.66562456612","-87.55563427296","(41.665624566118, -87.555634272959)"
"12/31/2017","Completed - Dup","01/03/2018","17-08691730","Alley Light Out","13105 S GREEN BAY AVE","60633","1200743.74717084","1818678.46082845","10","4","55","41.6572205506","-87.54109264574","(41.657220550595, -87.541092645737)"
"12/31/2017","Completed - Dup","01/23/2018","17-08695449","Alley Light Out","8429 S WOOD ST","60620","1165816.54739203","1848786.95218518","21","6","71","41.7406531629","-87.66804568907","(41.740653162896, -87.668045689075)"
"12/31/2017","Completed - Dup","01/23/2018","17-08691525","Alley Light Out","7118 S INDIANA AVE","60619","1178830.64218665","1857865.96543094","6","3","69","41.76528102972","-87.62008772632","(41.765281029719, -87.620087726316)"
"12/31/2017","Completed","02/01/2018","17-08704538","Alley Light Out","7040 W 64TH PL","60638","1130586.09318076","1860949.25510931","23","8","64","41.77470389625","-87.79685146918","(41.774703896248, -87.796851469185)"
"12/31/2017","Completed - Dup","02/04/2018","17-08699599","Alley Light Out","10426 S CALHOUN AVE","60617","1194854.54847475","1836372.67919601","10","4","51","41.70592198234","-87.56206216463","(41.705921982338, -87.562062164626)"
"12/31/2017","Completed","03/29/2018","17-08702805","Alley Light Out","6115 S ST LAWRENCE AVE","60637","1181286.85028919","1864596.10610128","20","3","42","41.7836929524","-87.61087782416","(41.783692952398, -87.610877824163)"
"12/31/2017","Completed","04/09/2018","17-08702313","Alley Light Out","3152 N HUDSON AVE","60657","1172637.05000268","1921365.70061512","44","19","6","41.93966799514","-87.64091225436","(41.939667995144, -87.640912254356)"
"12/31/2017","Completed","04/13/2018","17-08704681","Alley Light Out","5251 N LAPORTE AVE","60630","1142354.7888836","1934609.66293219","39","16","12","41.97662783618","-87.75187908082","(41.97662783618, -87.751879080816)"
"12/30/2017","Completed - Dup","05/05/2018","17-08688532","Alley Light Out","8318 S KEDVALE AVE","60652","1150185.65772243","1849082.68158008","18","8","70","41.74178202623","-87.72530875397","(41.741782026225, -87.72530875397)"
"12/30/2017","Open - Dup",,"17-08684209","Alley Light Out","8344 S HOYNE AVE","60620","1163810.67529588","1849299.259187","18","6","71","41.74210132911","-87.67538069087","(41.742101329112, -87.675380690869)"
"12/30/2017","Completed","01/04/2018","17-08677939","Alley Light Out","833 W GEORGE ST","60657","1170211.00671916","1919472.92992269","44","19","6","41.93452757756","-87.64988407643","(41.934527577561, -87.64988407643)"
"12/30/2017","Completed","01/04/2018","17-08686066","Alley Light Out","2600 N MANGO AVE","60639","1137609.01167469","1916702.72652401","30","25","19","41.92757651311","-87.76976459415","(41.927576513112, -87.769764594154)"
"12/30/2017","Completed","06/02/2018","17-08683808","Alley Light Out","2236 W MADISON ST","60612","1161507.69842008","1899981.11497949","27","12","28","41.88122651141","-87.6824122689","(41.881226511412, -87.682412268901)"
"12/30/2017","Completed - Dup","01/10/2018","17-08684086","Alley Light Out","1036 N AVERS AVE","60651","1150529.09373212","1906638.34201112","37","11","23","41.89971605989","-87.72255132477","(41.899716059891, -87.722551324771)"
"12/30/2017","Completed - Dup","01/23/2018","17-08684953","Alley Light Out","8429 S WOOD ST","60620","1165816.54739203","1848786.95218518","21","6","71","41.7406531629","-87.66804568907","(41.740653162896, -87.668045689075)"
"12/30/2017","Completed - Dup","06/19/2018","17-08688174","Alley Light Out","4610 S FRANCISCO AVE","60632","1157809.51977316","1873951.05739444","15","9","58","41.80987327343","-87.69670034482","(41.809873273432, -87.696700344816)"
"12/30/2017","Completed - Dup","02/12/2018","17-08687344","Alley Light Out","6201 S MONITOR AVE","60638","1138471.20888394","1862839.13042204","13","8","64","41.77975143876","-87.76789966339","(41.779751438759, -87.767899663395)"
"12/30/2017","Completed","06/23/2018","17-08688751","Alley Light Out","2641 W 36TH ST","60632","1159343.1978916","1880692.96308186","12","9","58","41.82834257266","-87.69089011682","(41.82834257266, -87.690890116824)"
"12/30/2017","Completed - Dup","04/13/2018","17-08684661","Alley Light Out","4010 S DREXEL BLVD","60653","1182558.40602727","1878339.41157301","4","2","36","41.82137628993","-87.60578939291","(41.821376289934, -87.605789392905)"
"12/30/2017","Completed","04/16/2018","17-08682137","Alley Light Out","5045 N CLAREMONT AVE","60625","1159772.76002038","1933521.89947475","40","20","4","41.97330066928","-87.68785573373","(41.973300669278, -87.687855733732)"
"12/29/2017","Completed","05/05/2018","17-08661870","Alley Light Out","8311 S BURLEY AVE","60617","1199255.89503056","1850482.90381815","10","4","46","41.74453226831","-87.54547220002","(41.744532268308, -87.545472200019)"
"12/29/2017","Completed","05/07/2018","17-08663057","Alley Light Out","3655 N LOTUS AVE","60641","1139375.37997418","1923770.07078375","36","16","15","41.94693798697","-87.76310105215","(41.946937986974, -87.763101052145)"
